genus,species,REG_NAME,REG_NUM,NOTE,NOTE2,Source
Achnatherum,hymneoides,Upper Colorado Basin,7,TRUE,,Kramer – Database
Pascopyrum,smithii,Upper Colorado Basin,7,TRUE,,Kramer – Database
Poa,secunda,Upper Colorado Basin,7,TRUE,,Kramer – Database
Elymus,elymoides,Upper Colorado Basin,7,TRUE,,Kramer – Database
Pseudoroegneria,spicata,Upper Colorado Basin,7,TRUE,,Kramer – Database
Sporobolus,cryptandrus,Upper Colorado Basin,7,TRUE,,Kramer – Database
Elymus,lanceolatus,Upper Colorado Basin,7,TRUE,,Kramer – Database
Elymus,trachycaulus,Upper Colorado Basin,7,TRUE,,Kramer – Database
Bouteloua,gracilis,Upper Colorado Basin,7,TRUE,,Kramer – Database
Hesperostipa,comata,Upper Colorado Basin,7,TRUE,,Kramer – Database
Achillea,millefolium,Upper Colorado Basin,7,FORB OVERFLOW,,Kramer – Database
Machaeranthera,canescens,Upper Colorado Basin,7,FORB OVERFLOW,,Kramer – Database
Heterotheca,villosa,Upper Colorado Basin,7,FORB OVERFLOW,,Kramer – Database
Linum,lewisii,Upper Colorado Basin,7,FORB OVERFLOW,,Kramer – Database
Penstemon,linarioides,Upper Colorado Basin,7,FORB OVERFLOW,,Kramer – Database
Andropogon,gerardii,Great Lakes,3,TRUE,,Woolridge
Schizachyyrium,scoparium,Great Lakes,3,TRUE,,Woolridge
Bouteloua,curtipendula,Great Lakes,3,TRUE,,Woolridge
Sorghastrum,nutans,Great Lakes,3,TRUE,,Woolridge
Sporobolus,heterolepis,Great Lakes,3,TRUE,,Woolridge
Dalea,purpurea,Great Lakes,3,TRUE,,Woolridge
Eryngium,yuccifolium,Great Lakes,3,TRUE,,Woolridge
Mondarda,fistulosa,Great Lakes,3,TRUE,,Woolridge
Ratibida,pinnata,Great Lakes,3,TRUE,,Woolridge
Silphium,lacinatum,Great Lakes,3,TRUE,,Woolridge
Achillea,millefolium,California-Great Basin,10,Caltrans,,Caltrans
Bromus,carinatus,California-Great Basin,10,Caltrans,,Caltrans
Elymus,elymoides,California-Great Basin,10,Caltrans,,Caltrans
Elymus,glaucus,California-Great Basin,10,Caltrans,,Caltrans
Eriogonum,fasciculatum,California-Great Basin,10,Caltrans,,Caltrans
Eschscholzia,californicum,California-Great Basin,10,Caltrans,,Caltrans
Festuca,idahoensis,California-Great Basin,10,Caltrans,,Caltrans
Festuca,microstachys,California-Great Basin,10,Caltrans,,Caltrans
Hordeum,brachyantherum,California-Great Basin,10,Caltrans,,Caltrans
Lupinus,bicolor,California-Great Basin,10,Caltrans,,Caltrans
Nassella,pulchra,California-Great Basin,10,Caltrans,,Caltrans
Layia,platyglossa,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
Melica,imperfecta,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
Acmispon,glaber,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
Monolopia,lanceolata,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
Monolopa,stricta,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
Phacelia,tanacetifolia,California-Great Basin,10,INNER-SOUTH-COAST,,O’Dell
