genus,species,REG_NAME,NOTE
Achnatherum,hymneoides,UCB,TRUE
Pascopyrum,smithii,UCB,TRUE
Poa,secunda,UCB,TRUE
Elymus,elymoides,UCB,TRUE
Pseudoroegneria,spicata,UCB,TRUE
Sporobolus,cryptandrus,UCB,TRUE
Elymus,lanceolatus,UCB,TRUE
Elymus,trachycaulus,UCB,TRUE
Bouteloua,gracilis,UCB,TRUE
Hesperostipa,comata,UCB,TRUE
Achillea,millefolium,UCB,FORB OVERFLOW
Machaeranthera,canescens,UCB,FORB OVERFLOW
Heterotheca,villosa,UCB,FORB OVERFLOW
Linum,lewisii,UCB,FORB OVERFLOW
Penstemon,linarioides,UCB,FORB OVERFLOW
Andropogon,gerardii,GRL,TRUE
Schizachyyrium,scoparium,GRL,TRUE
Bouteloua,curtipendula,GRL,TRUE
Sorghastrum,nutans,GRL,TRUE
Sporobolus,heterolepis,GRL,TRUE
Dalea,purpurea,GRL,TRUE
Eryngium,yuccifolium,GRL,TRUE
Mondarda,fistulosa,GRL,TRUE
Ratibida,pinnata,GRL,TRUE
Silphium,lacinatum,GRL,TRUE
Achillea,millefolium,CALIFORNIA,Caltrans
Bromus,carinatus,CALIFORNIA,Caltrans
Elymus,elymoides,CALIFORNIA,Caltrans
Elymus,glaucus,CALIFORNIA,Caltrans
Eriogonum,fasciculatum,CALIFORNIA,Caltrans
Eschscholzia,californicum,CALIFORNIA,Caltrans
Festuca,idahoensis,CALIFORNIA,Caltrans
Festuca,microstachys,CALIFORNIA,Caltrans
Hordeum,brachyantherum,CALIFORNIA,Caltrans
Lupinus,bicolor,CALIFORNIA,Caltrans
Nassella,pulchra,CALIFORNIA,Caltrans
Layia,platyglossa,CALIFORNIA,INNER-SOUTH-COAST
Melica,imperfecta,CALIFORNIA,INNER-SOUTH-COAST
Acmispon,glaber,CALIFORNIA,INNER-SOUTH-COAST
Monolopia,lanceolata,CALIFORNIA,INNER-SOUTH-COAST
Monolopa,stricta,CALIFORNIA,INNER-SOUTH-COAST
Phacelia,tanacetifolia,CALIFORNIA,INNER-SOUTH-COAST
Pseudoroegneria,spicata,CPNW,
Poa,secunda,CPNW,
Festuca,idahoensis,CPNW,
Elymus,elymoides,CPNW,
Hesperostipa,comata,CPNW,
Artemisia,tripartita,CPNW,
Artemisia,tridentata spp. Wyomingensis,CPNW,
Eriogonum,heracleoides/sphaerocephalum,CPNW,
Erigeron,pumilus/filifolius/linearis,CPNW,
Penstemon,gairdneri/speciosus,CPNW,
